


SongNum|SongID      |SongName                                          |SongAlbum                               |SongArtist                    |LrcSts         |ErrorInfo
135    |1321015332  |Pont des souvenirs                                |Pont des souvenirs                      |VeetaCrush,itsu               |EXISTED        |×<NO_LYRIC_LABEL>
136    |2098442746  |到深空更深处去                                           |到深空更深处去                                 |CARDINAL星海,星尘,依溪禾,清风疾行_       |EXISTED        |√
137    |25879904    |Retribution                                       |Antisleep, Vol. 03                      |Blue Stahli                   |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
138    |2130084895  |涸浊的花迹 Narcissus Without Water                     |原神-万流始源之海 Pelagic Primaevality          |HOYO-MiX                      |EXISTED        |×
139    |2130083951  |秘仪与律法 Ordeals, Rituals, Laws                      |原神-万流始源之海 Pelagic Primaevality          |HOYO-MiX                      |EXISTED        |×
140    |1873855825  |snooze (feat. SHIKI)                              |snooze (feat. SHIKI)                    |wotaku,SHIKI                  |EXISTED        |√
141    |2640838893  |NOTOK                                             |NOTOK                                   |ヒトリエ                          |EXISTED        |√
142    |2632142882  |Viyella's Malice                                  |Viyella's Malice                        |Laur                          |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
143    |2053327929  |Panama                                            |LOVE Is UNIVERSAL                       |Matteo                        |EXISTED        |√
144    |2135490449  |ヒットメーカー (feat. 重音テト)                              |ヒットメーカー                                 |夜未アガリ,重音テト                    |EXISTED        |√
145    |1983943861  |outro                                             |Beauty Of The World !!                  |Efflam                        |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
146    |2641505679  |CREEPY MIST                                       |A Cold, Dark Place (Deluxe)             |Jack Fjelde                   |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
147    |2097222970  |罪人舞步旋 Masquerade of the Guilty                    |原神-流星的轨迹 Footprints of the Traveler     |HOYO-MiX                      |EXISTED        |×
148    |2147126709  |两界为火，赤夜将熄 Two Worlds Aflame, the Crimson Night Fades|原神-流星的轨迹 Footprints of the Traveler     |HOYO-MiX                      |NOLYRICS       |×<NO_LYRIC_LABEL>
149    |2635292812  |苍原的颂灵歌 Anthem of the Savannah                     |原神-炽炎交逐之原 Land of Tleyaoyotl            |HOYO-MiX                      |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
150    |2082143960  |向深水中的晨星 To the Stars Shining in the Depths        |原神-流星的轨迹 Footprints of the Traveler     |HOYO-MiX                      |EXISTED        |×
151    |2639639291  |不乱不破                                              |崩坏星穹铁道-不乱不破 No Dazzle, No Break         |HOYO-MiX,Reol                 |EXISTED        |√
152    |2619160085  |荣花与炎日之途 Flowers Resplendent on the Sun-Scorched Sojourn|原神-流星的轨迹 Footprints of the Traveler     |HOYO-MiX                      |NOLYRICS       |×<NO_LYRIC_LABEL>
153    |2129633484  |シニカル・シニカル (feat. Such)                            |シニカル・シニカル (feat. Such)                  |吐息,Such                       |EXISTED        |√
154    |2137411598  |強気                                                |覚醒                                      |V.W.P                         |EXISTED        |√
155    |17666108    |Setlon                                            |Everything Remains (As It Never Was)    |Eluveitie                     |NOLYRICS       |×<NO_LYRIC_LABEL>
156    |1482677427  |Flamewall                                         |Tera I / O                              |かめりあ                          |EXISTED        |×<NO_LYRIC_LABEL>
157    |2134535038  |Apollo                                            |ONGEKI Sound Collection 06              |TJ.hangneil                   |NOLYRICS       |×<NO_LYRIC_LABEL>
158    |411314656   |烂泥                                                |丑奴儿                                     |草东没有派对                        |EXISTED        |√
160    |2608712925  |エンパープル                                            |                                        |25時、ナイトコードで。,宵崎奏,朝比奈まふゆ,東雲絵名,暁山瑞希,鏡音リン25時、ナイトコードで。,宵崎奏,朝比奈まふゆ,東雲絵名,暁山瑞希,鏡音リン25時、ナイトコードで。,宵崎奏,朝比奈まふゆ,東雲絵名,暁山瑞希,鏡音リン|EXISTED        |√
161    |729622      |creamydream                                       |sasanqua e.p.                           |flap+frog                     |EXISTED        |×<NO_LYRIC_LABEL>
162    |2633304572  |TAIDADA                                           |TAIDADA                                 |ずっと真夜中でいいのに。                  |EXISTED        |√
163    |1316778034  |Bad                                               |New Levels New Devils                   |Polyphia                      |NOLYRICS       |×<NO_LYRIC_LABEL>
164    |1316777147  |Death Note                                        |New Levels New Devils                   |Polyphia,ichika Nito          |NOLYRICS       |×<NO_LYRIC_LABEL>
165    |1316778033  |Nasty (feat. Jason Richardson)                    |New Levels New Devils                   |Polyphia,Jason Richardson     |NOLYRICS       |×<NO_LYRIC_LABEL>
166    |1971746996  |八道                                                |八道                                      |狐狸座,雨狸                        |EXISTED        |√
167    |2607970502  |Factory                                           |Factory                                 |PIKASONIC                     |EXISTED        |×<NO_LYRIC_LABEL>
169    |1949182968  |まにまに（随之任之）                                        |随之任之                                    |苍子                            |UNSURED        |×<输入字符串的格式不正确。>
170    |22699106    |グレーゾーンにて。                                         |Unhappy Refrain                         |wowaka,初音ミク                   |EXISTED        |√
171    |1417496521  |Be My Lover (Upfinger & Velchev Remix)            |Be My Lover (Upfinger & Velchev Remix)  |Upfinger,Velchev              |EXISTED        |√
172    |2116862942  |索实逐真 Veritas Numquam Perit                        |原神-闪耀的群星4 The Stellar Moments Vol. 4    |HOYO-MiX                      |EXISTED        |×
173    |2615047566  |Fatal                                             |Fatal                                   |Will Stetson                  |EXISTED        |√
174    |1831476078  |万古生香                                              |哔哩哔哩拜年纪金曲回顾                             |洛天依Official                   |EXISTED        |√
175    |2623889384  |眠りゆく芽吹き                                           |眠りゆく芽吹き                                 |ヰ世界情緒                         |EXISTED        |√
176    |2614276904  |夏が終わる                                             |夏が終わる                                   |ナナツカゼ                         |EXISTED        |√
177    |2137413653  |描き続けた君へ                                           |色彩                                      |ヰ世界情緒                         |EXISTED        |√
178    |2134477413  |こわれもの                                             |こわれもの                                   |kyiku,裏命                      |EXISTED        |√
179    |2625743322  |Vulcānus                                          |Vulcānus                                |Team Grimoire,Aoi             |NOLYRICS       |×<NO_LYRIC_LABEL>
180    |2087690423  |Primeval Texture                                  |Primeval Texture                        |くるぶっこちゃん                      |NOLYRICS       |×<NO_LYRIC_LABEL>
181    |520458962   |動く、動く (instrumental)                              |動く、動く                                   |水瀬いのり,久保ユリカ                   |EXISTED        |×<NO_LYRIC_LABEL>
184    |1931262717  |Villain                                           |Villain                                 |Empty old City                |EXISTED        |√
185    |1438519295  |빌런 (Villain)                                      |STELLA I                                |Stella Jang                   |EXISTED        |√
186    |477215494   |ブリキノダンス                                           |ブラックホールディスク                             |日向電工,初音ミク                     |EXISTED        |√
187    |1965041414  |Last (Instrumental)                               |Last                                    |onoken                        |NOLYRICS       |×<NO_LYRIC_LABEL>
188    |2626239804  |モノトーン                                             |モノトーン                                   |YOASOBI                       |EXISTED        |√
189    |36308250    |疾駆                                                |Charlotte Original Soundtrack           |ANANT-GARDE EYES              |NOLYRICS       |×<NO_LYRIC_LABEL>
190    |2151646203  |このままの心で怖かった                                       |静寂                                      |kyiku,重音テト,可不                 |EXISTED        |√
191    |2617703637  |诀别无尽夏                                             |诀别无尽夏                                   |Youzee Music                  |EXISTED        |×
192    |2134871969  |ヨミクダリの灯                                           |第一象徴体系                                  |シャノン                          |EXISTED        |√
193    |1364977384  |カラフルモーメント                                         |LOST-IDEA                               |藍月なくる                         |EXISTED        |√
194    |2113760401  |Finale our hope „Carpe-Diem“ (feat. 木下珠子)         |雨に祈りを                                   |onoken,木下珠子                   |EXISTED        |√
195    |1982029641  |Dynamo                                            |Wide Awake                              |Virgil Arles                  |NOLYRICS       |×<NO_LYRIC_LABEL>
196    |1372505655  |Tech Priest                                       |Delirium Ep                             |QZB                           |NOLYRICS       |×<NO_LYRIC_LABEL>
197    |32334891    |我的世界                                              |我的世界                                    |鸟爷ToriSama                    |EXISTED        |√
198    |1930052519  |TNT                                               |TNT                                     |CaptainSparklez,TryHardNinja  |EXISTED        |√
199    |21925430    |Dynamite                                          |Dynamite                                |Taio Cruz                     |EXISTED        |√
200    |32628084    |一半一半                                              |一半一半                                    |鸟爷ToriSama,洛天依Official        |EXISTED        |√
201    |448316023   |Mortals                                           |Mortals                                 |WarriYo,Laura Brehm           |EXISTED        |√
202    |2600874339  |UNDEAD                                            |UNDEAD                                  |YOASOBI                       |EXISTED        |√
203    |2076368732  |アイのソラ                                             |アイのソラ                                   |Hybrid Energy,初音ミク            |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
204    |2609183631  |爱未枯竭前                                             |せっかく濡れた愛が渇く前に                           |阿梓,式浦躁吾                       |EXISTED        |√
205    |2610967299  |セカイの箱庭                                            |セカイの箱庭                                  |廉,ヰ世界情緒                       |EXISTED        |√
206    |1406409783  |西へ行く                                              |祭囃子                                     |buzzG,nano                    |EXISTED        |√
207    |22822675    |西へ行く                                              |Matsuribayashi                          |buzzG                         |EXISTED        |√
208    |2147143650  |烙印                                                |烙印                                      |Awairo                        |EXISTED        |√
209    |2144347145  |痛みから生まれ（生于痛苦）                                     |夜里独唱的孩子                                 |艾欧查克                          |EXISTED        |√
210    |2137413652  |ヴァーミリオン                                           |色彩                                      |ヰ世界情緒                         |EXISTED        |√
211    |2053736409  |さよならワンダーランド                                       |さよならワンダーランド                             |ナナツカゼ,PIKASONIC,なこたんまる        |EXISTED        |√
212    |2605552169  |きゅびびびびずむ                                          |きゅびずむ                                   |超てんちゃん,NEEDY GIRL OVERDOSE,原口沙輔|EXISTED        |√
213    |2619717081  |5月病の水槽 (feat. 双葉湊音)                               |Y                                       |Feryquitous,双葉湊音              |EXISTED        |√
214    |2619717080  |Thistlect (feat. nayuta)                          |Y                                       |Feryquitous,nayuta            |EXISTED        |√
215    |2619717077  |Auxetic_Irony                                     |Y                                       |Feryquitous                   |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
216    |4010229     |Sweden                                            |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
217    |4010256     |Droopy Likes Your Face                            |Minecraft - Volume Alpha                |C418                          |EXISTED        |√
218    |4010251     |Droopy Likes Ricochet                             |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
219    |4010247     |Beginning                                         |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
220    |4010243     |Danny                                             |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
221    |4010239     |Dog                                               |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
222    |4010234     |Cat                                               |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
